id,name,lastFinancingDate,lastFinancingDealType,lastFinancingDealType2,lastFinancingSize,lastFinancingValuation,lastFinancingStatus,ownershipStatus,financingStatus,financingStatusNote,activeInvestors,acquirers,primaryIndustryCode,description,hqLocation,companyWebsite
23,Red Vector,01-Jan-2024,Seed Round,Seed Round,2.10,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.1 million of pre-seed funding in the form of SAFE notes in a deal led by Ben Franklin Technology Partners of Southeastern Pennsylvania on January 01, 2024. Other undisclosed investors also participated in the round.",Ben Franklin Technology Partners of Southeastern Pennsylvania,,Network Management Software,"Operator of an information technology platform intended for organizations to operationalize insider risk programs. The company's advanced machine learning and algorithmic modeling proactively automate the collection, analysis and intelligence assessments using a wide range of existing data sources, enabling clients to have predictive analytics that can indicate changes in levels of risk across entities.","Chesterbrook, PA",www.redvector.ai
24,Nautical Ventures,12-Jan-2024,Seed Round,Seed Round,2.09,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.09 million of seed funding from undisclosed investors on January 12, 2024.",,,Specialty Retail,"Operator of a marine superstore intended to connect boat enthusiasts with their perfect vessels. The company offers a wide variety of new and used boats, kayaks, paddleboards, and water toys, as well as services such as financing, service and storage, enabling customers to find the perfect boat or water toy for their needs and to make their boating experience as enjoyable as possible.","Fort Lauderdale, FL",www.nauticalventures.com
25,Pitchit,29-Feb-2024,Seed Round,Seed Round,2.08,11.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.08 million of seed funding through a combination of convertible debt and equity in a deal led by Silicon Road on February 29, 2024, putting the company's pre-money valuation at $9.34 million. Gray Ventures, Pasadena Angels, Thomson Nguyen, and other undisclosed investors also participated in the round. Of the total amount, $419,700 was originally raised in the form of convertible debt.","Alchemist Accelerator, Gray Ventures, Pasadena Angels, Plug and Play Tech Center, Silicon Road, Thomson Nguyen",,Business/Productivity Software,"Developer of an AI (artificial intelligence)-driven multichannel conversational commerce platform designed for borderless messaging directly to customers' preferred inboxes. The company's platform executes scalable multichannel social selling campaigns, increases shopper pipeline engagement, and allows users to create hands-free multichannel marketing campaigns, enabling clients to reduce the cost and complexity of engaging prospects across multiple channels.","Austin, TX",www.pitchit.ai
26,Agile Devices,09-Feb-2024,Seed Round,Seed Round,2.04,9.04,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.04 million of Seed-2 funding from Walnut Ventures, Angel Star Ventures, and other undisclosed investors on February 9, 2024, putting the company's pre-money valuation at $7 million.","Angel Star Ventures, Beacon Venture Partners, HBS Alumni Angels of Brazil, Hertz Foundation, Ian Levine, Jacky Chen, Launchpad Venture Group, Massachusetts Institute of Technology Endowment, Massachusetts Life Sciences Center, MIT $100K Entrepreneurship Competition, National Heart, Lung, and Blood Institute, Small Business Innovation Research and Small Business Technology Transfer Programs, The Fannie and John Hertz Foundation, Thomas Medrek, U.S. Department of Health and Human Services, Walnut Ventures, Wharton Alumni Angel",,Surgical Devices,"Developer of microcatheter devices designed to give alternating flexible and stiff segments so that doctors can feed the tube through the body. The company's devices offer a variety of catheter-based interventional procedures for patients in emergencies such as stroke or acute arterial bleeding, enabling medical practitioners to reduce procedure time, which is especially crucial in responding to time-critical emergencies.","Newton, MA",www.agiledevices.com
27,Cogtive,08-Feb-2024,Seed Round,Seed Round,2.03,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised BRL 10 million of seed funding from Indicator Capital on February 9, 2024. The funds will be used for the product area and commercial expansion.",Indicator Capital,,Business/Productivity Software,"Developer of MES and MOM software designed to provide a global factory overview. The company's platform is IoT and A.I.-based which collects data, processes it, and provides a clear digital view of the factory floor, enabling clients to reduce line stoppages, improve production rate, and make efficient use of labor.","Sao Paulo, Brazil",cogtive.com
28,Saint Luke's Surgicenter Lee's Summit,10-Jan-2024,Seed Round,Seed Round,2.03,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2.03 million of seed funding from undisclosed investors on January 10, 2024.",,,Hospitals/Inpatient Services,"Operator of a wellness clinic intended to provide different treatments. The company offers health services such as Otolaryngology, Ophthalmology, Gynecology, Urology, and many more, enabling patients to get all kinds of diagnostics in one place.","Lee's Summit, MO",www.saintlukessurgicenter.org
29,Artian,29-Mar-2024,Seed Round,Seed Round,2.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of pre-seed funding from Wormhole Capital and other undisclosed investors on March 29, 2024.",Wormhole Capital,,Business/Productivity Software,"Developer of an artificial intelligence platform designed to help enterprises with multi-agent workflows. The company's platform brings learnings and opportunities to global enterprises of all sizes, enabling corporations to streamline their business operations and achieve their organizational goals.","New York, NY",www.artian.ai
30,Aura Intelligent Systems,19-Mar-2024,Seed Round,Seed Round,2.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of seed funding on March 19, 2024. The funds will be used to focus on enhancing business cooperation with the company's AI semiconductor chips, such as the high-performance vision processor 'N-Dolphin' and the AI accelerator 'A2X.'","Activate Global, Collaborative Fund, Endless Frontier Labs, Gigascale Capital, MassRobotics, National Science Foundation, Plug and Play Tech Center, Ray Stata, Telechips",,Other Hardware,"Developer of high-resolution imaging radar for automotive and robotics. The company's patented digital imaging radar technology delivers high-fidelity, high-resolution spatial sensing that solves the interference and latency problems of existing radars, it software-defined radar, enabling clients to achieve a longer range, and low power consumption, at a fraction of the cost.","Boston, MA",www.auraisystems.com
31,Bala (Beverages),01-Jan-2024,Seed Round,Seed Round,2.00,7.00,Announced/In Progress,Privately Held (backing),Pending Transaction (VC),"The company closed on $2 million of an undisclosed targeted amount of seed funding from Ken Sadowsky on January 1, 2024, putting the company's pre-money valuation at $5 million. It plans to close the round by December 31, 2024.",Ken Sadowsky,,Beverages,"Producer and seller of sports drinks made from a blend of natural substances intended to provide hydration. The company's drink is a nutrition powder mix, keto-friendly, gluten-free, and is made from a patent-pending blend of turmeric, and bromelain from pineapple, papain, and papaya, enabling individuals to get good health by supporting their joint strength, natural pain relief solutions, effective muscle recovery, and digestion without having to consume artificial substances.","Seal Beach, CA",www.balaenzyme.com
32,Bowtie Works,31-Jan-2024,Seed Round,Seed Round,2.00,11.50,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of seed funding from Aviso Ventures, 8-Bit Capital, Meridian Ventures and Prelude Venture Fund on January 31, 2024, putting the company's pre-money valuation at $9.5 million.","8-Bit Capital, Aviso Ventures, Meridian Ventures, Prelude Venture Fund",,Network Management Software,"Developer of network security technology intended to build the next generation of secure corporate networks. The company leverages advanced networking techniques to provide a horizontally scalable, conflict-free overlay network, enabling organizations to better adhere to modern security and compliance requirements.","Santa Clara, CA",www.bowtie.works
33,Bracket Labs,05-Jan-2024,Seed Round,Seed Round,2.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of seed funding in a deal led by Binance Labs on January 5, 2024. Bitfund, W3Coins Ventures, Titan Equity Partners, FJ Labs, 0XCapital, Cypher Capital (Dubai), K300 Ventures, PHD Capital, NGC Ventures and SCC Investments also participated in the round. The funds will be used to support the launch of ""Passage,"" a volatility trading product available on the project's BracketX trading platform.","0XCapital, Binance Labs, Bitfund, Cypher Capital (Dubai), FJ Labs, K300 Ventures, NGC Ventures, PHD Capital, SCC Investments, Titan Equity Partners, W3Coins Ventures",,Other Financial Services,"Developer of decentralized finance platform designed to democratize financial products and introduce on-chain innovations in volatility trading. The company's platform provides an option-spread-like position over a percentage of the spot price and a price drop protection policy, enabling investors to apply financial leverage.","Lehi, UT",www.bracketx.fi
34,Canyon Star TV,01-Feb-2024,Seed Round,Seed Round,2.00,,Announced/In Progress,Privately Held (backing),Venture Capital-Backed,"The company is in the process of raising $2 million of seed funding from undisclosed investors as of February 1, 2024. It plans to close the round by May 1, 2024. The funds will be used to accelerate growth to produce five original titles in 2024, marketing, improve the user interface, and license quality, wholesome, family-friendly programming. Earlier, the company was capitalized with $800,000 in from friends and family in 2017. The company is actively being tracked by PitchBook.",,,"Movies, Music and Entertainment","Operator of an Internet television network intended to offer family lifestyle media services. The company offers viewers a demographic that includes men, women and children passionate about music, honest television, nostalgia, original productions and a shopping channel offering Art, clothing and furnishings, enabling users to enjoy family-friendly streaming content.","Nashville, TN",www.canyonstar.tv
35,CaptainBook,Expected 15-Jun-2024,Seed Round,Seed Round,2.00,,Upcoming,Privately Held (backing),Venture Capital-Backed,"The company is reportedly seeking $2 million of seed funding. Previously, the company raised $100,000 of seed funding in the form of convertible debt from undisclosed investors on January 1, 2024.",,,Business/Productivity Software,"Developer of travel management software designed for tour and activity providers to manage their bookings. The company's platform offers various services such as travel booking, channel manager, host services, reporting solutions and many more, enabling travel businesses to have a clear view of their operations.","Naxos, Greece",www.captainbook.io
36,Century Health,27-Feb-2024,Seed Round,Seed Round,2.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of pre-seed funding in a deal led by 2048 Ventures on February 27, 2024. Everywhere, Alumni Ventures, LifeX Ventures, Travis May and Christine Lemke also participated in the round. The funds will be used to boost AI to give pharma access to good patient data.","2048 Ventures, Alumni Ventures, Christine Lemke, Everywhere, LifeX Ventures, Travis May",,Biotechnology,"Developer of a healthcare technology intended to accelerate drug commercialization by applying artificial intelligence to longitudinal clinical data previously untapped by pharma. The company's platform connects to real-world disease-specific datasets and uses AI to clean and standardize the data, enabling researchers to analyze real-world data more efficiently.","Santa Monica, CA",www.century.health
37,Clixie AI,Expected 15-Aug-2024,Seed Round,Seed Round,2.00,,Upcoming,Privately Held (backing),Venture Capital-Backed,"The company is reportedly seeking $2 million of seed funding. It plans to start the round on March 15, 2024 and close the round on August 15, 2024. It is looking for a lead investor. Previously, the company raised $200,000 of venture funding from Inclito Venture Capital on April 1, 2020, putting the company's pre-money valuation at $9.8 million.",Inclito Venture Capital,,Media and Information Services (B2B),"Operator of an interactive video platform intended to allow users to add interactivity to any video or audio content. The company's platform provides deep data, easy-to-use tools, and flexible integration options for creating and analyzing interactive video and story experiences across any vertical by themselves, its AI (artificial intelligence) ecosystem is used to virtually automate the entire authoring process, saving time and money, enabling companies to increase revenue and engage their viewing audiences.","Ann Arbor, MI",www.clixie.ai
38,Coffee Resurrect,,Seed Round,Seed Round,2.00,,Upcoming,Privately Held (no backing),Pending Transaction (VC),"The company is reportedly seeking $2 million of seed funding. The company plans to start the round by the end of 2024. Previously, the company is in the process of raising $1 million of seed funding on February 12, 2024.",,,Food Products,"Producer of sustainable food and personal care products intended to create consumer goods from coffee waste in Africa. The company offer natural personal care, nutraceuticals, and food ingredients from spent coffee grounds to create a positive social and environmental impact, making natural ingredient inputs affordable for personal care and food and beverage end-product manufacturers, thereby enabling its customers to find personal care products that can be used in baking and other food products.","Addis Ababa, Ethiopia",www.coffeeresurrect.com
39,EDEN (Business/Productivity Software),23-Feb-2024,Seed Round,Seed Round,2.00,,Announced/In Progress,Privately Held (backing),Angel-Backed,"The company raised $770,000 of angel funding in the form of SAFE notes from undisclosed investors on February 27, 2024. Previosuly, the company raised $195,000 of angel funding in the form of SAFE note on February 27, 2024.","Alchemist Accelerator, Headline Asia",,Business/Productivity Software,"Developer of operation management software intended for streamlining home service business, customer acquisition, and sales. The company's platform offers features like lead identification, automatic pricing and system recommendations, online estimate generation, and customer engagement tools, enabling residential contractors to improve efficiency, close more deals, and provide an online experience for their customers, ultimately leading to increased revenue and brand trust.","Seattle, WA",www.e-denhomes.com
40,Ema.,22-Feb-2024,Seed Round,Seed Round,2.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $2 million of seed funding in the form of convertible debt from Hearst Labs, Wormhole Capital and Kubera Venture Capital on February 22, 2024. Techstars, Victorum Capital Club, and Acumen America also participated in the round. The funds will be used to expand into new areas, including employee benefits, where the company can make a substantial difference.","Acumen America, Curate Capital, Hearst Labs, HearstLab, Kubera Venture Capital, Regatta Capital Group, Techstars, Victorum Capital Club, Wormhole Capital",,Social/Platform Software,"Developer of a social media application designed to offer assistance in connecting with friends in need. The company's application helps connect women together in an inclusive ecosystem that supports them on their journey of motherhood, with a zero-tolerance policy for mom-shaming and misinformation and with access to experts in all things motherhood from fertility to mental health, enabling women to reduce loneliness and get friendship and support from like-minded mothers.","Houston, TX",www.emaapp.co
